"period","seriesId","seriesDescription","unit","DC_value","MD_value","VA_value"
"2022","KSTXB","Kerosene total end-use consumption","Billion Btu",0,211,474
"2022","KSTXP","Kerosene total end-use consumption","Thousand barrels",0,37,84
"2022","KSTXV","Kerosene total end-use expenditures","Million dollars",0,8.2,17.6
"2022","KSTCV","Kerosene total expenditures","Million dollars",0,8.2,17.6
"2022","EV0CN","Legacy charging ports for electric vehicles","Number",0,0,0
"2022","EV1CN","Level 1 charging ports for electric vehicles","Number",46,45,237
"2022","EV2CN","Level 2 charging ports for electric vehicles","Number",1491,4581,3572
"2022","EV2CR","Level 2 charging ports per location","Number",4.37,3.31,3.05
"2022","LUTXD","Lubricants average price, all end-use sectors","Dollars per million Btu",97.37,NA,97.37
"2022","LUTCD","Lubricants average price, all sectors","Dollars per million Btu",NA,97.37,NA
"2022","LUICP","Lubricants consumed by the industrial sector","Thousand barrels",8,215,346
"2022","LUICB","Lubricants consumed by the industrial sector","Billion Btu",NA,1305,2099
"2022","LUACB","Lubricants consumed by the transportation sector","Billion Btu",67,NA,NA
"2022","LUICV","Lubricants expenditures in the industrial sector","Million dollars",4.9,NA,204.4
"2022","LUACV","Lubricants expenditures in the transportation sector","Million dollars",NA,NA,321.4
"2022","LUICD","Lubricants price in the industrial sector","Dollars per million Btu",97.37,NA,NA
"2022","LUACD","Lubricants price in the transportation sector","Dollars per million Btu",NA,97.37,97.37
"2022","LUTCP","Lubricants total consumption","Thousand barrels",NA,496,890
"2022","LUTCB","Lubricants total consumption","Billion Btu",117,NA,5400
"2022","LUTXB","Lubricants total end-use consumption","Billion Btu",117,3008,5400
"2022","LUTXP","Lubricants total end-use consumption","Thousand barrels",19,NA,890
"2022","LUTXV","Lubricants total end-use expenditures","Million dollars",NA,292.8,NA
"2022","LUTCV","Lubricants total expenditures","Million dollars",11.4,292.8,NA
"2022","MSICB","Miscellaneous petroleum products consumed by the industrial sector","Billion Btu",0,486,1591
"2022","MSICP","Miscellaneous petroleum products consumed by the industrial sector","Thousand barrels",0,84,275
"2022","MSICV","Miscellaneous petroleum products expenditures in the industrial sector","Million dollars",0,14.9,48.7
"2022","MSICD","Miscellaneous petroleum products price in the industrial sector","Dollars per million Btu",0,30.58,30.58
"2022","MGTXD","Motor gasoline average price, all end-use sectors","Dollars per million Btu",34.41,32.87,29.64
"2022","MGTCD","Motor gasoline average price, all sectors","Dollars per million Btu",34.41,32.87,29.64
"2022","MBICP","Motor gasoline blending components consumed by the industrial sector","Thousand barrels",0,0,0
"2022","MBICB","Motor gasoline blending components consumed by the industrial sector","Billion Btu",0,0,0
"2022","MGCCB","Motor gasoline consumed by the commercial sector","Billion Btu",393,9290,12312
"2022","MGCCP","Motor gasoline consumed by the commercial sector","Thousand barrels",78,1840,2438
"2022","MGICB","Motor gasoline consumed by the industrial sector","Billion Btu",195,3020,3956
"2022","MGICP","Motor gasoline consumed by the industrial sector","Thousand barrels",39,598,784
"2022","MGACB","Motor gasoline consumed by the transportation sector","Billion Btu",11180,258080,436914
"2022","MGACP","Motor gasoline consumed by the transportation sector","Thousand barrels",2214,51115,86535
"2022","MGCCV","Motor gasoline expenditures in the commercial sector","Million dollars",13.5,305.3,364.9
"2022","MGICV","Motor gasoline expenditures in the industrial sector","Million dollars",6.7,99.3,117.3
"2022","MGACV","Motor gasoline expenditures in the transportation sector","Million dollars",384.7,8483,12949.7
"2022","MGTPV","Motor gasoline expenditures per capita","Dollars",598.3,1435.2,1546.8
"2022","MGCCD","Motor gasoline price in the commercial sector","Dollars per million Btu",34.41,32.87,29.64
"2022","MGICD","Motor gasoline price in the industrial sector","Dollars per million Btu",34.41,32.87,29.64
"2022","MGACD","Motor gasoline price in the transportation sector","Dollars per million Btu",34.41,32.87,29.64
"2022","MGTCB","Motor gasoline total consumption","Billion Btu",11768,270390,453182
"2022","MGTCP","Motor gasoline total consumption","Thousand barrels",2331,53553,89757
"2022","MGTXP","Motor gasoline total end-use consumption","Thousand barrels",2331,53553,89757
"2022","MGTXB","Motor gasoline total end-use consumption","Billion Btu",11768,270390,453182
"2022","MGTXV","Motor gasoline total end-use expenditures","Million dollars",404.9,8887.6,13431.9
"2022","MGTCV","Motor gasoline total expenditures","Million dollars",404.9,8887.6,13431.9
"2022","MMCCB","Motor gasoline, excluding fuel ethanol, consumed by the commercial sector","Billion Btu",364,8607,11424
"2022","MMICB","Motor gasoline, excluding fuel ethanol, consumed by the industrial sector","Billion Btu",180,2798,3671
"2022","MMACB","Motor gasoline, excluding fuel ethanol, consumed by the transportation sector","Billion Btu",10355,239112,405407
"2022","MMTCB","Motor gasoline, excluding fuel ethanol, total consumption","Billion Btu",10900,250517,420502
"2022","NGTXD","Natural gas average price, all end-use sectors (including supplemental gaseous fuels)","Dollars per million Btu",15.21,14.73,10.78
"2022","NGTCD","Natural gas average price, all sectors (including supplemental gaseous fuels)","Dollars per million Btu",15.21,12.42,8.75
"2022","CYCAS","Natural gas combined cycle generating units capacity factor","Percent",0,52.7,56.8
"2022","NGLPB","Natural gas consumed as lease and plant fuel","Billion Btu",0,0,5324
"2022","NGRFB","Natural gas consumed as refinery fuel","Billion Btu",0,0,0
"2022","NGEIB","Natural gas consumed by the electric power sector (including supplemental gaseous fuels)","Billion Btu",0,100688,363201
"2022","NGEIP","Natural gas consumed by the electric power sector (including supplemental gaseous fuels)","Million cubic feet",0,96940,348300
"2022","NGICB","Natural gas consumed by the industrial sector (including supplemental gaseous fuels)","Billion Btu",0,16824,119754
"2022","NGICP","Natural gas consumed by the industrial sector (including supplemental gaseous fuels)","Million cubic feet",0,16190,113343
"2022","NGISB","Natural gas consumed by the industrial sector excluding refinery fuel","Billion Btu",0,16824,114430
"2022","NGACP","Natural gas consumed by the transportation sector","Million cubic feet",1809,29317,14593
"2022","NGACB","Natural gas consumed by the transportation sector ","Billion Btu",1870,30465,15419
"2022","NGASB","Natural gas consumed by the transportation sector adjusted for process fuel","Billion Btu",301,332,713
"2022","NYCAS","Natural gas conventional steam generating units capacity factor","Percent",0,2.9,7.8
"2022","NGCCP","Natural gas delivered to the commercial sector, used as consumption (including supplemental gaseous fuels)","Million cubic feet",15489,73916,74390
"2022","NGCCB","Natural gas delivered to the commercial sector, used as consumption (including supplemental gaseous fuels)","Billion Btu",16015,76810,78597
"2022","NGRCB","Natural gas delivered to the residential sector, used as consumption (including supplemental gaseous fuels)","Billion Btu",12288,85764,89021
"2022","NGRCP","Natural gas delivered to the residential sector, used as consumption (including supplemental gaseous fuels)","Million cubic feet",11884,82532,84255
"2022","NGCCV","Natural gas expenditures in the commercial sector (including supplemental gaseous fuels)","Million dollars",233.1,1043.7,858.5
"2022","NGEIV","Natural gas expenditures in the electric power sector (including supplemental gaseous fuels)","Million dollars",0,833.7,2601.8
"2022","NGICV","Natural gas expenditures in the industrial sector (including supplemental gaseous fuels)","Million dollars",0,197.8,815.5
"2022","NGRCV","Natural gas expenditures in the residential sector (including supplemental gaseous fuels)","Million dollars",198.2,1400.6,1356.5
"2022","NGACV","Natural gas expenditures in the transportation sector","Million dollars",3.7,5.8,18.1
"2022","NGPZB","Natural gas for pipeline and distribution use","Billion Btu",1570,30134,14705
"2022","NGGBP","Natural gas generating units net summer capacity in all sectors","Thousand kilowatts",21,5651,13804
"2022","NGCCD","Natural gas price in the commercial sector (including supplemental gaseous fuels)","Dollars per million Btu",14.56,13.59,10.92
"2022","NGEID","Natural gas price in the electric power sector (including supplemental gaseous fuels)","Dollars per million Btu",0,8.28,7.16
"2022","NGICD","Natural gas price in the industrial sector (including supplemental gaseous fuels)","Dollars per million Btu",0,11.76,7.13
"2022","NGRCD","Natural gas price in the residential sector (including supplemental gaseous fuels)","Dollars per million Btu",16.13,16.33,15.24
"2022","NGACD","Natural gas price in the transportation sector","Dollars per million Btu",12.44,17.33,25.38
"2022","NNTCB","Natural gas total consumption (excluding supplemental gaseous fuels)","Billion Btu",30174,310133,665869
"2022","NGTCB","Natural gas total consumption (including supplemental gaseous fuels)","Billion Btu",30174,310551,665991
"2022","NGTCP","Natural gas total consumption (including supplemental gaseous fuels)","Million cubic feet",29181,298894,634882
"2022","NGTPB","Natural gas total consumption (including supplemental gaseous fuels) per capita","Million Btu",44.6,50.1,76.7
"2022","NGTPP","Natural gas total consumption (including supplemental gaseous fuels) per capita","Thousand cubic feet",43.1,48.3,73.1
"2022","NGSCB","Natural gas total consumption adjusted for process fuel","Billion Btu",28604,280417,645963
"2022","NGTXB","Natural gas total end-use consumption (including supplemental gaseous fuels)","Billion Btu",30174,209863,302791
"2022","NGTXP","Natural gas total end-use consumption (including supplemental gaseous fuels)","Million cubic feet",29181,201954,286582
"2022","NGTXV","Natural gas total end-use expenditures (including supplemental gaseous fuels)","Million dollars",435.1,2647.8,3048.6
"2022","NGTCV","Natural gas total expenditures (including supplemental gaseous fuels)","Million dollars",435.1,3481.5,5650.4
"2022","NTCAS","Natural gas turbine generating units capacity factor","Percent",44.2,5.5,9.9
"2022","NNEIE","Natural gas, excluding supplemental gaseous fuels, CO2 emissions for the electric power sector","Million metric tons CO2",NA,5.3,19.2
"2022","NNICE","Natural gas, excluding supplemental gaseous fuels, CO2 emissions for the industrial sector","Million metric tons CO2",NA,NA,6.1
"2022","NNRCE","Natural gas, excluding supplemental gaseous fuels, CO2 emissions for the residential sector","Million metric tons CO2",0.7,NA,NA
"2022","PPICP","Natural gasoline (pentanes plus) consumed by the industrial sector","Thousand barrels",0,0,0
"2022","PPICB","Natural gasoline (pentanes plus) consumed by the industrial sector","Billion Btu",0,NA,0
"2022","PPTCP","Natural gasoline (pentanes plus) total consumption","Thousand barrels",0,0,0
"2022","PPTCB","Natural gasoline (pentanes plus) total consumption","Billion Btu",0,0,0
"2022","NAICB","Natural gasoline consumed by the industrial sector (through 1983)","Billion Btu",0,0,0
"2022","NAICP","Natural gasoline consumed by the industrial sector (through 1983)","Thousand barrels",0,0,0
"2022","ELNIB","Net imports of electricity into the United States","Billion Btu",0,0,0
"2022","ELNIP","Net imports of electricity into the United States","Million kilowatthours",0,0,0
"2022","ELISP","Net interstate flow of electricity (negative indicates flow out of state)","Million kilowatthours",10756,25918,52123
"2022","ELISB","Net interstate flow of electricity and associated losses (negative indicates flow out of state)","Billion Btu",90355,217723,437854
"2022","NUEGP","Nuclear electricity net generation in the electric power sector","Million kilowatthours",0,14811,28197
"2022","NUETP","Nuclear electricity total net generation","Million kilowatthours",0,14811,28197
"2022","NUEGB","Nuclear energy consumed for electricity generation by the electric power sector","Billion Btu",0,154742,294606
"2022","NUETB","Nuclear energy consumed for electricity generation, total","Billion Btu",0,154742,294606
"2022","NUETD","Nuclear fuel average price, all sectors","Dollars per million Btu",0,0.59,0.57
"2022","NUEGV","Nuclear fuel expenditures in the electric power sector","Million dollars",0,90.9,168.7
"2022","NUEGD","Nuclear fuel price in the electric power sector","Dollars per million Btu",0,0.59,0.57
"2022","NUETV","Nuclear fuel total expenditures","Million dollars",0,90.9,168.7
"2022","NUCAS","Nuclear generating units capacity factor","Percent",0,99,90.2
"2022","NUGBP","Nuclear generating units net summer capacity in all sectors","Thousand kilowatts",0,1708,3568
"2022","OJGBP","Other gases generating units net summer capacity in all sectors","Thousand kilowatts",0,0,0
"2022","OTGBP","Other generating units net summer capacity in all sectors","Thousand kilowatts",0,0,0
"2022","OHICB","Other hydrocarbon gas liquids (other than propane) consumed by the industrial sector","Billion Btu",0,0,0
"2022","OHICV","Other hydrocarbon gas liquids (other than propane) expenditures in the industrial sector","Million dollars",0,0,0
"2022","OHICD","Other hydrocarbon gas liquids (other than propane) price in the industrial sector","Dollars per million Btu",0,0,0
"2022","OPICD","Other petroleum products average price in the industrial sector","Dollars per million Btu",0,34.14,33.47
"2022","OPTXD","Other petroleum products average price, all end-use sectors","Dollars per million Btu",0,34.14,33.47
"2022","OPTCD","Other petroleum products average price, all sectors","Dollars per million Btu",0,34.14,33.47
"2022","P5RFB","Other petroleum products consumed as refinery fuel and intermediate products","Billion Btu",0,0,0
"2022","OPCCB","Other petroleum products consumed by the commercial sector","Billion Btu",0,0,0
"2022","OPCCP","Other petroleum products consumed by the commercial sector","Thousand barrels",0,0,0
"2022","OPEIP","Other petroleum products consumed by the electric power sector","Thousand barrels",0,0,0
"2022","OPEIB","Other petroleum products consumed by the electric power sector","Billion Btu",0,0,1
"2022","OPICB","Other petroleum products consumed by the industrial sector","Billion Btu",0,3279,4727
"2022","OPICP","Other petroleum products consumed by the industrial sector","Thousand barrels",0,615,870
"2022","OPISB","Other petroleum products consumed by the industrial sector excluding refinery fuel and intermediate products","Billion Btu",0,3279,4727
"2022","OPRCP","Other petroleum products consumed by the residential sector","Thousand barrels",0,0,0
"2022","OPRCB","Other petroleum products consumed by the residential sector","Billion Btu",0,0,0
"2022","OPACB","Other petroleum products consumed by the transportation sector","Billion Btu",31,858,2017
"2022","OPACP","Other petroleum products consumed by the transportation sector","Thousand barrels",6,160,376
"2022","OMTCB","Other petroleum products consumption, excluding biofuels","Billion Btu",0,3279,4727
"2022","OPTCB","Other petroleum products total consumption","Billion Btu",31,4137,6746
"2022","OPTCP","Other petroleum products total consumption","Thousand barrels",6,775,1247
"2022","OPSCB","Other petroleum products total consumption adjusted for refinery fuel and intermediate products","Billion Btu",0,3279,4727
"2022","OPTXB","Other petroleum products total end-use consumption","Billion Btu",31,4137,6745
"2022","OPTXP","Other petroleum products total end-use consumption","Thousand barrels",6,775,1246
"2022","OPTXV","Other petroleum products total end-use expenditures","Million dollars",0,111.9,158.2
"2022","OPTCV","Other petroleum products total expenditures","Million dollars",0,111.9,158.2
"2022","OPICV","Other petroleum products total expenditures in the industrial sector","Million dollars",0,111.9,158.2
"2022","FNICP","Petrochemical feedstocks, naphtha less than 401? F, consumed by the industrial sector","Thousand barrels",0,0,0
"2022","FNICB","Petrochemical feedstocks, naphtha less than 401? F, consumed by the industrial sector","Billion Btu",0,0,0
"2022","FNICV","Petrochemical feedstocks, naphtha less than 401? F, expenditures in the industrial sector","Million dollars",0,0,0
"2022","FNICD","Petrochemical feedstocks, naphtha less than 401? F, price in the industrial sector","Dollars per million Btu",0,0,0
"2022","FOICB","Petrochemical feedstocks, other oils equal to or greater than 401? F, consumed by the industrial sector","Billion Btu",0,0,0
"2022","FOICP","Petrochemical feedstocks, other oils equal to or greater than 401? F, consumed by the industrial sector","Thousand barrels",0,0,0
"2022","FOICV","Petrochemical feedstocks, other oils equal to or greater than 401? F, expenditures in the industrial sector","Million dollars",0,0,0
"2022","FOICD","Petrochemical feedstocks, other oils equal to or greater than 401? F, price in the industrial sector","Dollars per million Btu",0,0,0
"2022","FSICP","Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)","Thousand barrels",0,0,0
"2022","FSICB","Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)","Billion Btu",0,0,0
"2022","FSICV","Petrochemical feedstocks, still gas, expenditures in the industrial sector (through 1985)","Million dollars",0,0,0
"2022","FSICD","Petrochemical feedstocks, still gas, price in the industrial sector (through 1985) ","Dollars per million Btu",0,0,0
"2022","PCTXD","Petroleum coke average price, all end-use sectors","Dollars per million Btu",0,0,0
"2022","PCTCD","Petroleum coke average price, all sectors","Dollars per million Btu",0,0,0
"2022","PCRFB","Petroleum coke consumed as refinery fuel","Billion Btu",0,0,0
"2022","PCCCP","Petroleum coke consumed by the commercial sector","Thousand barrels",0,0,0
"2022","PCCCB","Petroleum coke consumed by the commercial sector","Billion Btu",0,0,0
"2022","PCEIB","Petroleum coke consumed by the electric power sector","Billion Btu",0,0,0
"2022","PCEIP","Petroleum coke consumed by the electric power sector","Thousand barrels",0,0,0
"2022","PCISB","Petroleum coke consumed by the industrial sector excluding refinery fuel","Billion Btu",0,0,0
"2022","PCICP","Petroleum coke consumed in the industrial sector","Thousand barrels",0,0,0
"2022","PCICB","Petroleum coke consumed in the industrial sector","Billion Btu",0,0,0
"2022","PCCCV","Petroleum coke expenditures in the commercial sector","Million dollars",0,0,0
"2022","PCEIV","Petroleum coke expenditures in the electric power sector","Million dollars",0,0,0
"2022","PCICV","Petroleum coke expenditures in the industrial sector","Million dollars",0,0,0
"2022","PCCCD","Petroleum coke price in the commercial sector","Dollars per million Btu",0,0,0
"2022","PCEID","Petroleum coke price in the electric power sector","Dollars per million Btu",0,0,0
"2022","PCICD","Petroleum coke price in the industrial sector","Dollars per million Btu",0,0,0
"2022","PCTCB","Petroleum coke total consumption","Billion Btu",0,0,0
"2022","PCTCP","Petroleum coke total consumption","Thousand barrels",0,0,0
"2022","PCSCB","Petroleum coke total consumption adjusted for process fuel","Billion Btu",0,0,0
"2022","PCTXB","Petroleum coke total end-use consumption","Billion Btu",0,0,0
"2022","PCTXP","Petroleum coke total end-use consumption","Thousand barrels",0,0,0
"2022","PCTXV","Petroleum coke total end-use expenditures","Million dollars",0,0,0
"2022","PCTCV","Petroleum coke total expenditures","Million dollars",0,0,0
"2022","PACAS","Petroleum generating units capacity factor","Percent",0,1.5,1
"2022","PAGBP","Petroleum generating units net summer capacity in all sectors","Thousand kilowatts",0,1351,1536
"2022","PLICP","Plant condensate consumed by the industrial sector (through 1983)","Thousand barrels",0,0,0
"2022","PLICB","Plant condensate consumed by the industrial sector (through 1983)","Billion Btu",0,0,0
"2022","PHVHN","Plug-in hybrid electric vehicle (PHEV) light-duty stocks","Thousands of registered vehicles",3,21.2,20.1
"2022","PECCD","Primary energy average price in the commercial sector","Dollars per million Btu",14.77,17.01,14.06
"2022","PEEID","Primary energy average price in the electric power sector","Dollars per million Btu",0,3.65,4.28
"2022","PEICD","Primary energy average price in the industrial sector","Dollars per million Btu",20.77,18.24,10.32
"2022","PERCD","Primary energy average price in the residential sector","Dollars per million Btu",16.93,19.48,18.59
"2022","PEACD","Primary energy average price in the transportation sector","Dollars per million Btu",34.76,33.36,30.26
"2022","PETXD","Primary energy average price, all end-use sectors","Dollars per million Btu",21.53,27.03,23.37
"2022","PETCD","Primary energy average price, all sectors","Dollars per million Btu",21.53,19.18,16.21
"2022","PECSB","Primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",18042,97901,118387
"2022","PEISB","Primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",3618,54652,251251
"2022","PERSB","Primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",12934,109802,122694
"2022","PEASB","Primary energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",13933,361936,720566
"2022","PESCB","Primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",48527,939918,1940771
"2022","PETXV","Primary energy total end-use expenditures","Million dollars",1044.9,16873.7,28344.3
"2022","PETCV","Primary energy total expenditures","Million dollars",1044.9,18026,31461.9
"2022","PECCV","Primary energy total expenditures in the commercial sector","Million dollars",266.5,1665.5,1665
"2022","PEEIV","Primary energy total expenditures in the electric power sector","Million dollars",0,1152.3,3117.7
"2022","PEICV","Primary energy total expenditures in the industrial sector","Million dollars",75.1,996.9,2593.2
"2022","PERCV","Primary energy total expenditures in the residential sector","Million dollars",218.9,2138.8,2280.5
"2022","PEACV","Primary energy total expenditures in the transportation sector","Million dollars",484.3,12072.5,21805.6
"2022","PQTXD","Propane average price, all end-use sectors","Dollars per million Btu",NA,29.99,28.1
"2022","PQTCD","Propane average price, all sectors","Dollars per million Btu",27.62,29.99,28.1
"2022","PQRFB","Propane consumed as refinery fuel","Billion Btu",NA,0,0
"2022","PQCCB","Propane consumed by the commercial sector","Billion Btu",12,3332,7828
"2022","PQCCP","Propane consumed by the commercial sector","Thousand barrels",3,NA,2038
"2022","PQICP","Propane consumed by the industrial sector","Thousand barrels",12,521,1289
"2022","PQICB","Propane consumed by the industrial sector","Billion Btu",NA,NA,4952
"2022","PQRCP","Propane consumed by the residential sector","Thousand barrels",10,1744,3007
"2022","PQRCB","Propane consumed by the residential sector","Billion Btu",NA,6700,11550
"2022","PQACB","Propane consumed by the transportation sector","Billion Btu",NA,172,200
"2022","PQACP","Propane consumed by the transportation sector","Thousand barrels",1,45,52
"2022","PQISB","Propane consumed in the industrial sector excluding refinery fuel","Billion Btu",45,2002,4952
"2022","PQCCV","Propane expenditures in the commercial sector","Million dollars",0.3,74.6,167.8
"2022","PQICV","Propane expenditures in the industrial sector","Million dollars",NA,NA,98.6
"2022","PQRCV","Propane expenditures in the residential sector","Million dollars",1.5,244.3,417.9
"2022","PQACV","Propane expenditures in the transportation sector","Million dollars",0.1,4.3,4.9
"2022","PQCCD","Propane price in the commercial sector","Dollars per million Btu",22.4,22.4,21.44
"2022","PQICD","Propane price in the industrial sector","Dollars per million Btu",21.38,21.38,NA
"2022","PQRCD","Propane price in the residential sector","Dollars per million Btu",NA,36.46,36.18
"2022","PQACD","Propane price in the transportation sector","Dollars per million Btu",23.36,NA,24.7
"2022","PQTCB","Propane total consumption","Billion Btu",NA,12207,24531
"2022","PQTCP","Propane total consumption","Thousand barrels",26,3178,6387
"2022","PQSCB","Propane total consumption adjusted for process fuel","Billion Btu",99,12207,24531
"2022","PQTXP","Propane total end-use consumption","Thousand barrels",NA,3178,NA
"2022","PQTXB","Propane total end-use consumption","Billion Btu",99,12207,24531
"2022","PQTXV","Propane total end-use expenditures","Million dollars",2.7,366.1,689.3
"2022","PQTCV","Propane total expenditures","Million dollars",2.7,366.1,689.3
"2022","PYICB","Propylene from refineries consumed by the industrial sector","Billion Btu",0,NA,0
"2022","PYICP","Propylene from refineries consumed by the industrial sector","Thousand barrels",0,0,0
"2022","PYTCB","Propylene from refineries total consumption","Billion Btu",0,0,0
"2022","PYTCP","Propylene from refineries total consumption","Thousand barrels",0,0,0
"2022","GDPRX","Real gross domestic product (GDP)","Million chained (2017) dollars",144554.6,416406.2,580475.2
"2022","B1ACP","Renewable diesel consumed by the transportation sector","Thousand barrels",0,0,0
"2022","B1ACB","Renewable diesel consumed by the transportation sector","Billion Btu",0,0,0
"2022","B1AUP","Renewable diesel product supplied portion to the transportation sector","Thousand barrels",0,0,0
"2022","B1AUB","Renewable diesel product supplied portion to the transportation sector","Billion Btu",0,0,0
"2022","B1PRB","Renewable diesel production","Billion Btu",0,NA,NA
"2022","B1RIP","Renewable diesel refinery and blender net inputs","Thousand barrels",0,0,0
"2022","B1RIB","Renewable diesel refinery and blender net inputs","Billion Btu",0,0,0
"2022","B1ABB","Renewable diesel refinery and blender net inputs portion to the transportation sector","Billion Btu",0,0,0
"2022","B1ABP","Renewable diesel refinery and blender net inputs portion to the transportation sector","Thousand barrels",0,0,0
"2022","B1TCP","Renewable diesel total consumption","Thousand barrels",0,0,0
"2022","B1TCB","Renewable diesel total consumption","Billion Btu",0,0,0
"2022","REPRB","Renewable energy production","Billion Btu",1701,29919,159390
"2022","RECCB","Renewable energy sources consumed by the commercial sector","Billion Btu",1263,3313,14927
"2022","REEIB","Renewable energy sources consumed by the electric power sector","Billion Btu",76,15919,49690
"2022","REICB","Renewable energy sources consumed by the industrial sector","Billion Btu",14,1097,59919
"2022","RERCB","Renewable energy sources consumed by the residential sector","Billion Btu",391,10495,26155
"2022","REACB","Renewable energy sources consumed by the transportation sector","Billion Btu",879,20432,34947
"2022","RETCB","Renewable energy total consumption","Billion Btu",2622,51255,185638
"2022","REGBP","Renewable energy total generating units net summer capacity in all sectors","Thousand kilowatts",31,1432,4474
"2022","TPOPP","Resident population including Armed Forces","Thousand",677,6192,8683
"2022","RFSCB","Residential fuel oil total consumption excluding process fuel","Billion Btu",0,1214,3777
"2022","RFTXD","Residual fuel oil average price, all end-use sectors","Dollars per million Btu",0,20.01,13.74
"2022","RFTCD","Residual fuel oil average price, all sectors","Dollars per million Btu",0,21.55,14
"2022","RFRFB","Residual fuel oil consumed as refinery fuel","Billion Btu",0,0,0
"2022","RFCCP","Residual fuel oil consumed by the commercial sector","Thousand barrels",0,5,0
"2022","RFCCB","Residual fuel oil consumed by the commercial sector","Billion Btu",0,32,2
"2022","RFEIP","Residual fuel oil consumed by the electric power sector","Thousand barrels",0,86,33
"2022","RFEIB","Residual fuel oil consumed by the electric power sector","Billion Btu",0,541,210
"2022","RFICP","Residual fuel oil consumed by the industrial sector","Thousand barrels",0,9,138
"2022","RFICB","Residual fuel oil consumed by the industrial sector","Billion Btu",0,58,868
"2022","RFISB","Residual fuel oil consumed by the industrial sector excluding refinery fuel","Billion Btu",0,58,868
"2022","RFACB","Residual fuel oil consumed by the transportation sector","Billion Btu",0,584,2697
"2022","RFACP","Residual fuel oil consumed by the transportation sector","Thousand barrels",0,93,429
"2022","RFCCV","Residual fuel oil expenditures in the commercial sector","Million dollars",0,0.6,0
"2022","RFEIV","Residual fuel oil expenditures in the electric power sector","Million dollars",0,12.7,3.9
"2022","RFICV","Residual fuel oil expenditures in the industrial sector","Million dollars",0,1.1,14.7
"2022","RFACV","Residual fuel oil expenditures in the transportation sector","Million dollars",0,11.8,34.3
"2022","RFCCD","Residual fuel oil price in the commercial sector","Dollars per million Btu",0,18.94,16.9
"2022","RFEID","Residual fuel oil price in the electric power sector","Dollars per million Btu",0,23.47,18.52
"2022","RFICD","Residual fuel oil price in the industrial sector","Dollars per million Btu",0,18.94,16.9
"2022","RFACD","Residual fuel oil price in the transportation sector","Dollars per million Btu",0,20.17,12.72
"2022","RFTCB","Residual fuel oil total consumption","Billion Btu",0,1214,3777
"2022","RFTCP","Residual fuel oil total consumption","Thousand barrels",0,193,601
"2022","RFTXB","Residual fuel oil total end-use consumption","Billion Btu",0,673,3567
"2022","RFTXP","Residual fuel oil total end-use consumption","Thousand barrels",0,107,567
"2022","RFTXV","Residual fuel oil total end-use expenditures","Million dollars",0,13.5,49
"2022","RFTCV","Residual fuel oil total expenditures","Million dollars",0,26.2,52.9
"2022","SOCCB","Solar energy consumed by the commercial sector","Billion Btu",232,1143,294
"2022","SOICB","Solar energy consumed by the industrial sector","Billion Btu",0,98,17
"2022","SORCB","Solar energy consumed by the residential sector","Billion Btu",369,3317,1564
"2022","SOEGB","Solar energy consumed for electricity generation by the electric power sector","Billion Btu",76,2369,15778
"2022","SOTCB","Solar energy total consumption","Billion Btu",678,6928,17653
"2022","SOTXB","Solar energy total end-use consumption","Billion Btu",602,4559,1875
"2022","SOGBP","Solar generating units net summer capacity in all sectors","Thousand kilowatts",19,512,2793
"2022","SOR7P","Solar photovoltaic electricity generation by small-scale applications in the residential sector","Million kilowatthours",108,938,300
"2022","SPCAS","Solar photovoltaic generating units capacity factor","Percent",14,19,21.5
"2022","SOCCP","Solar thermal and photovoltaic electricity net generation in the commercial sector","Million kilowatthours",68,335,86
"2022","SOEGP","Solar thermal and photovoltaic electricity net generation in the electric power sector","Million kilowatthours",22,694,4624
"2022","SOICP","Solar thermal and photovoltaic electricity net generation in the industrial sector","Million kilowatthours",0,29,5
"2022","SOTGP","Solar thermal and photovoltaic electricity total net generation","Million kilowatthours",198,1996,5015
"2022","SHCAS","Solar thermal generating units capacity factor","Percent",0,0,0
"2022","SNICB","Special naphthas consumed by the industrial sector","Billion Btu",0,2679,2917
"2022","SNICP","Special naphthas consumed by the industrial sector","Thousand barrels",0,510,556
"2022","SNICV","Special naphthas expenditures in the industrial sector","Million dollars",0,92.5,100.7
"2022","SNICD","Special naphthas price in the industrial sector","Dollars per million Btu",0,34.51,34.51
"2022","SGICP","Still gas consumed by the industrial sector","Thousand barrels",0,0,0
"2022","SGICB","Still gas consumed by the industrial sector","Billion Btu",0,0,0
"2022","SFCCB","Supplemental gaseous fuels consumed by the commercial sector","Billion Btu",0,115,15
"2022","SFEIB","Supplemental gaseous fuels consumed by the electric power sector","Billion Btu",0,150,69
"2022","SFINB","Supplemental gaseous fuels consumed by the industrial sector","Billion Btu",0,25,22
