"Created at:","Aug 10, 2025"
"Applied Filters:"
"Area Median Income","0 - 30%; 30 - 60%; 60 - 80%; 80 - 100%; 100 - 150%; 150%+"
"Building Age","Before 1940; 1940 - 59; 1960 - 79; 1980 - 99; 2000 - 19; 2020+"
"Heating Fuel Type","Utility Gas; Bottled Gas; Electricity; Fuel Oil; Coal; Wood; Solar; Other; None"
"Building Type","1 unit detached; 1 unit attached; 2 units; 3 - 4 units; 5 - 9 units; 10 - 19 units; 20 - 49 units; 50+ units; Boat/RV/Van; Mobile/Trailer"
Rent/Own,"Renter-occupied; Owner-occupied"

"Geography ID",Name,State,County,"Energy Burden (% income)","Energy Burden (% income) (Electricity)","Energy Burden (% income) (Gas)","Energy Burden (% income) (Other)","Avg. Annual Energy Cost ($)","Avg. Annual Energy Cost ($) (Electricity)","Avg. Annual Energy Cost ($) (Gas)","Avg. Annual Energy Cost ($) (Other)","Total Households","Household Income","Black/ African American (% pop.)","American Indian/ Native Alaskan (% pop.)","Asian (% pop.)","Native Hawaiian/ Other Pacific Islander (% pop.)","White Hispanic or Latino (% pop.)","White Non-Hispanic or Latino (% pop.)","Two or More Races (% pop.)","Other Races (% pop.)","Less Than High School (% pop.)","High School (% pop.)","Associates or Some College (% pop.)","Bachelors or Higher (% pop.)"
24003730901,"Census Tract 7309.01, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3021,1989,616,416,1060,192610,5,0,1,0,6,75,10,3,0,7,18,75
24003730902,"Census Tract 7309.02, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3048,1975,411,662,1304,213793,3,0,2,0,2,87,5,1,2,11,21,66
24003731002,"Census Tract 7310.02, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2159,1677,369,113,1364,175785,2,1,2,0,2,78,8,7,1,9,38,52
24003731003,"Census Tract 7310.03, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,1,2977,1847,221,909,1705,173980,5,0,1,0,2,79,13,1,1,17,30,52
24003731004,"Census Tract 7310.04, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2630,1854,328,448,1649,159429,5,0,5,0,1,79,6,3,3,14,22,61
24003731103,"Census Tract 7311.03, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2699,1881,577,241,2019,181293,5,0,3,0,3,79,8,1,1,14,23,63
24003731104,"Census Tract 7311.04, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2645,1960,454,231,1696,172916,6,1,2,0,16,62,12,2,0,13,23,64
24003731105,"Census Tract 7311.05, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2741,1891,502,348,1128,187417,4,0,1,0,0,86,7,2,2,13,28,57
24003731106,"Census Tract 7311.06, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2177,1608,488,81,1760,145806,11,0,6,0,8,65,9,0,1,6,40,53
24003731107,"Census Tract 7311.07, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2943,2078,465,400,1252,193071,1,0,0,0,0,90,9,0,2,7,12,79
24003731201,"Census Tract 7312.01, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2957,1948,815,194,2249,212629,1,0,3,0,2,92,3,0,2,13,24,61
24003731205,"Census Tract 7312.05, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3102,1921,337,844,1716,175934,2,2,1,0,1,86,9,1,5,30,28,37
24003731206,"Census Tract 7312.06, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3235,1978,494,763,1299,219214,5,0,1,0,0,83,10,0,0,17,47,37
24003731207,"Census Tract 7312.07, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2987,2091,782,114,1111,243316,6,0,2,0,4,84,2,2,3,18,17,62
24003731208,"Census Tract 7312.08, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2791,1903,425,463,1455,170290,5,0,1,0,0,86,6,1,4,19,37,40
24003731209,"Census Tract 7312.09, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2244,1601,534,109,2131,162058,13,0,0,0,2,66,17,3,2,26,25,47
24003731210,"Census Tract 7312.10, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2717,1780,320,617,835,167157,4,0,0,0,3,86,3,5,1,23,43,33
24003731303,"Census Tract 7313.03, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,1,3186,1822,312,1052,2582,177032,0,0,1,0,1,94,3,1,8,15,35,42
24003731306,"Census Tract 7313.06, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3016,1960,321,735,2277,194928,0,1,4,0,2,90,1,3,3,29,26,42
24003731307,"Census Tract 7313.07, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2374,1727,334,313,2288,152254,7,0,3,0,1,78,8,4,4,25,38,33
24003731308,"Census Tract 7313.08, Anne Arundel County",Maryland,"Anne Arundel County",3,2,0,0,2771,1854,467,450,1564,107124,3,0,0,0,4,88,4,1,10,37,30,23
24003731309,"Census Tract 7313.09, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2251,1631,277,343,1897,127863,7,0,4,0,2,80,2,5,5,28,30,38
24003731310,"Census Tract 7313.10, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,2415,1860,282,273,1900,123928,8,0,2,0,2,84,3,0,4,29,31,36
24003731312,"Census Tract 7313.12, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,2139,1697,376,66,1498,108858,5,0,4,0,4,75,10,2,10,29,45,16
24003731313,"Census Tract 7313.13, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,2866,2106,264,496,1374,126320,24,0,3,0,6,58,7,1,3,18,45,35
24003740103,"Census Tract 7401.03, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2574,1859,682,33,3275,168676,35,0,8,0,1,45,8,3,3,13,30,54
24003740104,"Census Tract 7401.04, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2465,1703,737,25,3058,148798,46,0,10,0,1,28,10,6,1,18,32,49
24003740105,"Census Tract 7401.05, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2267,1575,638,54,1574,123814,61,0,4,0,8,17,9,1,3,34,36,27
24003740106,"Census Tract 7401.06, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2339,1531,598,210,1303,161985,38,0,6,0,9,40,7,0,10,15,13,63
24003740107,"Census Tract 7401.07, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,1883,1208,671,4,1524,154518,52,0,10,0,0,29,5,4,0,2,31,67
24003740108,"Census Tract 7401.08, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2056,1452,564,40,2384,164265,21,1,11,0,1,53,10,4,5,13,31,51
24003740203,"Census Tract 7402.03, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3086,2011,833,242,1868,193090,15,1,5,0,3,65,9,2,5,22,32,41
24003740204,"Census Tract 7402.04, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,2109,1586,428,95,1824,105652,28,0,4,0,0,55,6,7,2,35,34,29
24003740205,"Census Tract 7402.05, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2401,1585,752,64,1228,112095,20,1,4,0,5,56,2,11,13,18,32,38
24003740303,"Census Tract 7403.03, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2909,1937,608,364,1676,183741,16,0,14,0,4,54,6,6,6,19,27,47
24003740304,"Census Tract 7403.04, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,1826,1281,473,72,3176,123233,20,0,8,0,1,56,12,3,3,10,26,61
24003740305,"Census Tract 7403.05, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,1989,1412,575,2,4575,121241,54,1,5,0,1,30,6,4,1,15,38,46
24003740400,"Census Tract 7404, Anne Arundel County",Maryland,"Anne Arundel County",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24003740501,"Census Tract 7405.01, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2125,1372,747,6,2369,125495,67,1,5,0,0,16,6,5,3,3,29,65
24003740502,"Census Tract 7405.02, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2238,1542,687,9,1969,171484,54,0,11,0,0,20,6,10,1,21,14,65
24003740601,"Census Tract 7406.01, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2039,1432,588,19,1803,132013,28,0,11,0,4,42,13,2,2,5,35,58
24003740602,"Census Tract 7406.02, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2005,1480,524,1,1031,111406,33,0,12,0,7,29,14,5,1,5,51,42
24003740603,"Census Tract 7406.03, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,1415,1100,309,6,780,114804,22,1,4,1,6,50,15,2,2,14,41,43
24003740701,"Census Tract 7407.01, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,1949,1332,597,20,3043,130995,18,0,7,0,2,52,21,1,1,16,28,55
24003740703,"Census Tract 7407.03, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2579,1761,805,13,2028,209861,8,0,9,0,2,58,21,2,1,10,11,78
24003740704,"Census Tract 7407.04, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2191,1371,736,84,2767,145575,25,0,4,0,0,60,11,0,3,9,24,63
24003740800,"Census Tract 7408, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2810,1801,591,418,1737,161333,5,1,2,0,3,81,6,2,8,14,25,53
